probability, central cube size, simulation size, number of simulations
0.2460000000, 64, 512, 10

start size,number terminated,number still growing
1, 481962, 0
2, 163476, 0
3, 58452, 0
4, 23622, 0
5, 9980, 0
6, 4514, 0
7, 2194, 0
8, 1109, 0
9, 539, 0
10, 323, 0
11, 165, 0
12, 87, 0
13, 58, 0
14, 26, 0
15, 18, 0
16, 9, 0
17, 4, 0
