probability, central cube size, simulation size
0.2490000000, 64, 512

size,number terminated,number still growing
5128900,0,1
112098,1,0
88817,1,0
31584,1,0
18072,1,0
10650,1,0
9935,1,0
5855,1,0
5527,1,0
4091,1,0
3264,1,0
3060,1,0
2615,1,0
2596,1,0
2362,1,0
2252,1,0
2040,1,0
1326,1,0
1293,1,0
1246,1,0
1191,1,0
1109,1,0
1075,1,0
1054,1,0
1011,1,0
952,1,0
897,1,0
889,1,0
857,1,0
852,1,0
849,1,0
833,1,0
828,1,0
783,1,0
711,1,0
699,1,0
687,1,0
673,1,0
662,1,0
618,1,0
604,1,0
599,2,0
591,1,0
564,1,0
510,1,0
492,1,0
484,1,0
476,2,0
469,1,0
454,1,0
428,1,0
425,1,0
416,1,0
406,1,0
402,1,0
401,2,0
390,1,0
380,1,0
374,1,0
372,1,0
362,1,0
361,2,0
350,1,0
349,1,0
345,1,0
335,1,0
332,1,0
329,1,0
317,1,0
312,1,0
311,1,0
309,1,0
308,1,0
306,1,0
296,1,0
295,1,0
293,1,0
288,1,0
276,1,0
275,1,0
274,1,0
271,1,0
270,1,0
265,2,0
264,1,0
256,1,0
253,1,0
246,1,0
245,2,0
244,1,0
243,1,0
239,1,0
237,1,0
231,2,0
229,1,0
227,1,0
226,1,0
225,2,0
223,1,0
220,2,0
219,1,0
214,1,0
210,1,0
207,2,0
205,3,0
204,1,0
203,1,0
200,1,0
199,1,0
198,1,0
196,1,0
195,1,0
191,1,0
187,2,0
186,1,0
183,1,0
181,3,0
179,1,0
175,2,0
173,1,0
172,2,0
166,1,0
165,1,0
164,1,0
163,1,0
162,2,0
160,1,0
158,2,0
155,1,0
153,1,0
152,2,0
148,1,0
147,1,0
146,2,0
144,1,0
143,1,0
141,1,0
140,1,0
139,5,0
138,1,0
137,1,0
135,1,0
134,2,0
133,1,0
132,2,0
131,1,0
130,1,0
129,1,0
127,2,0
125,3,0
122,2,0
121,1,0
120,1,0
119,1,0
118,2,0
117,3,0
116,1,0
115,1,0
113,2,0
112,2,0
111,2,0
110,4,0
108,3,0
106,1,0
105,4,0
104,3,0
103,2,0
102,4,0
101,1,0
100,2,0
99,3,0
98,2,0
97,6,0
96,1,0
95,3,0
93,7,0
92,4,0
90,4,0
89,4,0
88,4,0
87,2,0
86,3,0
85,2,0
84,3,0
83,2,0
82,1,0
81,8,0
80,4,0
79,2,0
78,8,0
77,3,0
76,5,0
75,3,0
74,1,0
73,6,0
72,2,0
71,8,0
70,6,0
69,5,0
68,4,0
67,5,0
66,6,0
65,7,0
64,9,0
63,7,0
62,4,0
61,8,0
60,5,0
59,4,0
58,6,0
57,15,0
56,6,0
55,13,0
54,6,0
53,8,0
52,14,0
51,8,0
50,6,0
49,8,0
48,14,0
47,15,0
46,12,0
45,8,0
44,15,0
43,13,0
42,13,0
41,11,0
40,15,0
39,19,0
38,24,0
37,20,0
36,18,0
35,23,0
34,16,0
33,28,0
32,25,0
31,22,0
30,29,0
29,39,0
28,27,0
27,41,0
26,45,0
25,36,0
24,54,0
23,53,0
22,60,0
21,53,0
20,75,0
19,83,0
18,102,0
17,80,0
16,118,0
15,123,0
14,142,0
13,180,0
12,213,0
11,288,0
10,323,0
9,386,0
8,536,0
7,695,0
6,1036,0
5,1455,0
4,2516,0
3,4541,0
2,11460,0
1,46663,0
