probability, central cube size, simulation size
0.2484000000, 64, 512

size,number terminated,number still growing
584427,0,1
478991,1,0
192363,1,0
42841,1,0
24878,1,0
10359,1,0
10340,1,0
9866,1,0
7136,1,0
4643,1,0
4521,1,0
4214,1,0
3759,1,0
3353,1,0
3135,1,0
3044,1,0
2912,1,0
2790,1,0
2652,1,0
2193,1,0
2180,1,0
1863,1,0
1744,1,0
1735,1,0
1685,1,0
1663,1,0
1593,1,0
1571,1,0
1400,1,0
1394,1,0
1280,1,0
1235,1,0
1126,1,0
1109,1,0
1006,1,0
1005,1,0
996,1,0
995,1,0
940,1,0
933,1,0
870,1,0
848,1,0
816,1,0
799,1,0
790,1,0
776,2,0
768,1,0
621,1,0
577,1,0
556,1,0
518,1,0
506,1,0
497,1,0
493,1,0
492,1,0
491,1,0
479,1,0
444,1,0
438,2,0
433,1,0
418,1,0
416,1,0
415,1,0
400,1,0
394,1,0
385,1,0
366,1,0
349,1,0
348,1,0
346,2,0
345,1,0
342,1,0
330,1,0
328,1,0
321,1,0
319,1,0
316,1,0
310,1,0
309,1,0
300,2,0
292,1,0
285,1,0
284,1,0
281,1,0
278,1,0
275,1,0
270,1,0
269,1,0
263,2,0
262,1,0
258,1,0
257,1,0
255,1,0
252,1,0
250,1,0
249,1,0
248,1,0
244,3,0
243,1,0
241,1,0
239,2,0
236,1,0
231,1,0
228,2,0
227,1,0
226,1,0
224,1,0
218,1,0
206,1,0
204,1,0
201,2,0
197,1,0
195,1,0
194,1,0
192,1,0
191,3,0
190,1,0
188,2,0
187,2,0
185,2,0
181,1,0
180,3,0
179,1,0
176,3,0
175,1,0
174,1,0
173,3,0
172,2,0
170,1,0
169,1,0
168,1,0
167,1,0
165,1,0
164,1,0
163,1,0
162,1,0
161,1,0
160,3,0
157,2,0
152,2,0
151,3,0
149,2,0
148,2,0
147,2,0
145,4,0
144,1,0
143,1,0
140,2,0
139,5,0
138,1,0
137,4,0
136,2,0
134,1,0
133,1,0
132,1,0
130,2,0
129,2,0
128,1,0
127,1,0
126,3,0
125,1,0
123,1,0
121,3,0
120,1,0
119,2,0
118,3,0
117,4,0
116,3,0
113,1,0
112,2,0
111,3,0
110,2,0
109,5,0
108,1,0
107,1,0
106,5,0
105,1,0
104,1,0
103,2,0
102,1,0
100,3,0
99,3,0
98,1,0
97,6,0
96,2,0
95,4,0
94,3,0
93,2,0
92,4,0
91,3,0
90,3,0
89,5,0
88,3,0
87,3,0
86,2,0
85,1,0
84,2,0
83,5,0
82,2,0
81,2,0
80,1,0
79,5,0
78,5,0
77,6,0
76,7,0
75,6,0
74,2,0
73,5,0
72,7,0
71,2,0
70,4,0
69,7,0
68,6,0
67,4,0
66,3,0
65,11,0
64,6,0
63,4,0
62,6,0
61,7,0
60,8,0
59,10,0
58,5,0
57,9,0
56,9,0
55,6,0
54,13,0
53,10,0
52,13,0
51,14,0
50,10,0
49,18,0
48,18,0
47,11,0
46,15,0
45,13,0
44,23,0
43,11,0
42,15,0
41,10,0
40,16,0
39,18,0
38,21,0
37,20,0
36,14,0
35,31,0
34,28,0
33,19,0
32,21,0
31,31,0
30,30,0
29,40,0
28,32,0
27,40,0
26,38,0
25,54,0
24,41,0
23,58,0
22,70,0
21,74,0
20,79,0
19,83,0
18,91,0
17,104,0
16,124,0
15,125,0
14,173,0
13,194,0
12,224,0
11,272,0
10,271,0
9,442,0
8,547,0
7,689,0
6,1017,0
5,1492,0
4,2449,0
3,4671,0
2,11303,0
1,47372,0
