probability, central cube size, simulation size
0.2480000000, 64, 512

size,number terminated,number still growing
614211,0,1
45952,1,0
41250,1,0
34185,1,0
25700,1,0
24900,1,0
20066,1,0
17530,1,0
9840,1,0
5608,1,0
5417,1,0
5129,1,0
5068,1,0
4733,1,0
4154,1,0
3825,1,0
3678,1,0
3556,1,0
3344,1,0
3250,1,0
2854,1,0
2785,1,0
2643,1,0
2492,1,0
2006,1,0
1979,1,0
1941,1,0
1502,1,0
1476,1,0
1468,1,0
1406,1,0
1366,1,0
1285,1,0
1118,1,0
1056,1,0
1032,1,0
1018,1,0
944,1,0
903,1,0
795,1,0
740,1,0
709,1,0
646,1,0
629,1,0
613,1,0
583,1,0
578,1,0
574,1,0
563,1,0
529,1,0
525,1,0
524,1,0
516,2,0
514,1,0
507,1,0
485,1,0
484,1,0
480,1,0
475,1,0
474,1,0
473,1,0
465,1,0
456,1,0
453,1,0
450,1,0
438,1,0
429,1,0
420,1,0
404,1,0
398,1,0
391,1,0
390,1,0
377,1,0
376,1,0
368,2,0
366,2,0
362,2,0
358,1,0
355,2,0
344,1,0
335,1,0
331,1,0
328,1,0
324,1,0
320,1,0
313,2,0
312,1,0
310,1,0
303,1,0
301,1,0
300,1,0
298,1,0
293,1,0
292,1,0
291,1,0
284,1,0
283,2,0
282,1,0
281,2,0
280,2,0
279,2,0
275,1,0
274,1,0
269,1,0
267,1,0
265,1,0
263,1,0
255,1,0
248,1,0
246,1,0
245,1,0
244,1,0
240,1,0
238,1,0
236,1,0
232,1,0
229,1,0
227,1,0
226,2,0
225,2,0
220,2,0
219,1,0
218,2,0
217,1,0
216,1,0
214,1,0
210,1,0
209,1,0
207,1,0
204,1,0
202,1,0
199,1,0
198,2,0
195,1,0
193,1,0
188,1,0
180,1,0
179,2,0
178,1,0
176,1,0
175,1,0
173,1,0
170,2,0
168,3,0
167,2,0
166,3,0
165,1,0
164,1,0
163,3,0
162,1,0
159,1,0
158,2,0
157,2,0
156,3,0
155,2,0
154,1,0
153,1,0
152,2,0
151,2,0
149,2,0
148,2,0
147,1,0
146,2,0
145,2,0
144,1,0
143,1,0
142,3,0
141,1,0
140,1,0
139,1,0
138,3,0
137,2,0
136,1,0
135,1,0
134,1,0
133,4,0
132,3,0
131,4,0
130,1,0
129,2,0
128,1,0
127,3,0
126,3,0
125,1,0
123,4,0
122,1,0
121,3,0
119,3,0
118,2,0
117,2,0
116,2,0
114,3,0
113,2,0
111,1,0
110,4,0
108,4,0
107,3,0
105,3,0
104,1,0
103,2,0
102,2,0
101,6,0
100,3,0
99,3,0
98,4,0
97,3,0
96,5,0
95,2,0
94,1,0
92,5,0
91,3,0
90,3,0
89,1,0
88,4,0
87,3,0
86,5,0
85,2,0
83,5,0
82,2,0
81,8,0
80,2,0
79,3,0
78,6,0
77,3,0
76,2,0
75,5,0
74,1,0
73,8,0
72,5,0
71,5,0
70,4,0
69,3,0
68,4,0
67,9,0
66,5,0
65,6,0
64,10,0
63,3,0
62,12,0
61,9,0
60,11,0
59,13,0
58,10,0
57,7,0
56,5,0
55,8,0
54,11,0
53,7,0
52,11,0
51,13,0
50,9,0
49,9,0
48,18,0
47,20,0
46,14,0
45,20,0
44,11,0
43,16,0
42,21,0
41,22,0
40,9,0
39,16,0
38,15,0
37,19,0
36,17,0
35,20,0
34,33,0
33,26,0
32,12,0
31,27,0
30,22,0
29,26,0
28,43,0
27,39,0
26,34,0
25,41,0
24,49,0
23,58,0
22,67,0
21,61,0
20,77,0
19,77,0
18,89,0
17,117,0
16,121,0
15,145,0
14,175,0
13,178,0
12,198,0
11,252,0
10,325,0
9,371,0
8,527,0
7,754,0
6,1007,0
5,1517,0
4,2434,0
3,4509,0
2,11626,0
1,47793,0
